name,nombre,population,basin,area,dump,percapita2013,recolection,total2014,recover2014,rsuspending,percapitaspending,totalspending,rsutotalspending,DISTRITO,ceamse1996,ceamse1997,ceamse1998,ceamse1999,ceamse2000,ceamse2001,ceamse2002,ceamse2003,ceamse2004,ceamse2005,ceamse2006,ceamse2007,ceamse2008,ceamse2009,ceamse2010,ceamse2011,ceamse2012,ceamse2013
D003,Almirante Brown,552902,Matanza-Riachuelo,129.33,CEAMSE Norte III,0.2956,0,0,0.000,109350000,197.77,688117000,0.1589,ALMIRANTE BROWN,78534.2,88464.5,106732.2,112349.3,111112,115324.6,91316.9,85331,92662.3,96318.6,100948.9,106831.6,120025.7,139311.38,148217.97,155333.68,155885.402,163414.89
D004,Avellaneda,342677,Matanza-Riachuelo,55,CEAMSE Norte III,0.3487,0,0,0.000,146791000,428.37,1030227000,0.1425,AVELLANEDA,117749.8,128097.4,138868.7,144786,145357,141283.2,109384.3,102209.5,107644.4,115430.2,117288.6,118466.5,117772.7,116190.94,109593.58,114414.29,118475.85,119503.455
D011,Berazategui,320244,Del Plata,221,CEAMSE Norte III,0.1995,0,0,0.000,26201000,80.81,543039000,0.0482,BERAZATEGUI,40638.9,47000.6,55635.9,59536.9,60753.7,56681.4,49159.4,48333.7,51195.8,54158.7,56923.2,54995,57459.9,59857.97,61810.78,66295.19,65561.86,63880.56
D012,Berisso,88470,Del Plata ,143.59,CEAMSE Ensenada,0.2786,0,0,0.000,16758000,189.42,179320000,0.0935,BERISSO,11811.1,13540.5,16097.8,16629.3,16715.1,18161.1,14713.8,13485.4,14180.4,14972.1,16073.6,15153.7,15696,18751.28,19544.12,24246.34,23365.36,24650.88
D015,Brandsen,26367,San Borombón,112,CEAMSE Ensenada,0.1863,17,495,0.034,5612000,238.81,55657000,0.1008,BRANDSEN,,,,,,,3120.1,3500.3,3770.3,4069.7,4148.2,3332.7,3544.9,4902.38,5882.18,6916.58,6031.86,4911.45
D016,Campana,94333,Luján,982,Basurero municipal,0,0,0,0.000,26373000,279.19,240326000,0.1097,,,,,,,,,,,,,,,,,,,
D017,Cañuelas,51892,Matanza-Riachuelo,1203,Basurero municipal,0,0,0,0.000,6214000,119.75,228909000,0.0271,,,,,,,,,,,,,,,,,,,
D001,Ciudad de Buenos Aires,2890151,Matanza-Riachuelo,202,CEAMSE Norte III,0.5387,0,0,0.000,2842037889,983.35,35720128108,0.0796,CIUDAD DE BUENOS AIRES,1590754.6,1671849.4,1817550.2,1977252.8,1953375.1,1835934.3,1443046.6,1421842.1,1492867.1,1477147.4,1536452.8,1645368,1884460.2,1847748.36,2110122.235,2277772.344,2153777.416,1556806.14
D034,Ensenada,56729,Del Plata ,101,CEAMSE Ensenada,0.5292,0,0,0.000,16574000,292.16,192533000,0.0861,ENSENADA,13049.1,11558.3,17929,16113.9,14125.7,14851.6,11361.6,10983.9,12943.1,16719.8,18838.1,20166.4,19555,21239.98,24277.08,24966.12,28316.66,30020.91
D035,Escobar,213619,Luján,277,CEAMSE Norte III,0.1673,0,0,0.000,57586000,269.57,347833000,0.1656,ESCOBAR,,,,,,,,20706,28472.4,18161.3,,2231.4,35064.3,38575.11,40427.26,41275.15,42378.44,35733.18
D036,Esteban Echeverría,300959,Matanza-Riachuelo,390.82,CEAMSE Norte III,0.2174,0,0,0.000,43266000,143.76,448730000,0.0964,ESTEBAN ECHEVERRÍA,36772.5,38938.7,43401.9,45951.9,46969.9,48774.4,38517.6,38378,41858.3,44574.7,47295.4,46836.9,53234.8,58574.28,59333.58,62664.547,62181.59,65431.995
D037,Exaltación de la Cruz,29805,Luján/Areco,662,Basurero municipal,0,0,0,0.000,4721000,158.4,104065000,0.0454,,,,,,,,,,,,,,,,,,,
D132,Ezeiza,163722,Matanza-Riachuelo,223,CEAMSE Norte III,0.1576,0,0,0.000,0,0,0,0,EZEIZA  ,13738.9,14322.6,15358,16891.3,17568.7,18337.3,14775.8,14950.1,16961.7,18711.7,18582.6,19949.5,19337.4,21386.84,22991.14,25501.3,26461.14,25805.685
D038,Florencio Varela,426005,Del Plata ,190,CEAMSE Norte III,0.1669,0,0,0.000,55936000,131.3,532268000,0.1051,FLORENCIO VARELA,38163.5,41351.5,49837.8,53839.9,55634.5,55896.2,46555.5,45333.4,48845.7,53835.4,58358.2,57932.6,60465.7,63420.56,67373.14,70500.01,71232.041,71116.47
D045,General Las Heras,14889,Matanza-Riachuelo,760,Basurero municipal,0,0,0,0.000,2042000,137.15,38875000,0.0525,,,,,,,,,,,,,,,,,,,
D051,General Rodríguez,87185,Reconquista/Luján,360,CEAMSE Norte III,0.1362,0,0,0.000,11323000,129.87,120609000,0.0939,GENERAL RODRÍGUEZ,,2692.8,11129.4,11342.4,12020.8,9869,7769.5,7512.5,7565.2,10451.5,10697,10584.2,11616.6,11141.88,11162.46,12599.29,14888.78,11875.17
D052,General San Martín,414196,Reconquista,56,CEAMSE Norte III,0.4268,0,0,0.000,166975000,403.13,710976000,0.2349,GENERAL SAN MARTÍN,149257.6,155058.5,156443.4,163788.5,165705.2,161656.4,131540.7,130086.8,144031.3,157718.6,171413.9,174653,170441.2,175459.57,178832.4,179847.929,180831.278,176772.15
D134,Hurlingham,181241,Reconquista,35,CEAMSE Norte III,0.3941,0,0,0.000,40781000,225.01,207994000,0.1961,HURLINGHAM ,59538,59999.3,65543.2,66184.4,67678.4,64691.8,53119.8,52535.7,54358.8,56658.2,61229.9,59266,58395.9,61233.06,64608.44,64408.87,67165.71,71429.37
D133,Ituzaingó,167824,Reconquista,38,CEAMSE Norte III,0.3888,0,0,0.000,48591000,289.54,299986000,0.162,ITUZAINGÓ,50493.1,55980.9,64565.2,67385.7,69579.1,70821.8,62715.4,57040.8,59667.2,62500.1,66615.8,70324.2,73931.1,70637.56,77876.1,76012.87,87440.734,65247.06
D129,José C. Paz,265981,Reconquista/Luján,50,CEAMSE Norte III,0.2139,0,0,0.000,30527000,114.77,526611000,0.058,JOSÉ C. PAZ ,33640,38421.3,41615.1,43935.7,45371.7,42881.3,36655.4,35194.6,38216,39959.3,41890.7,42546.5,43050.1,47199.8,49835.16,51581.74,54383.24,56901.24
D061,La Matanza,1775816,Matanza-Riachuelo,325,CEAMSE González Catán III,0.3217,0,0,0.000,0,0,0,0,LA MATANZA,286554.6,312860.8,354287.1,345657.4,362511.2,370561.1,306512.3,299984.3,322434.1,356140.3,359132.1,364464.3,393129.2,413290.28,448916.81,471671.22,522830.11,571269.555
D063,La Plata,654324,Del Plata ,926,CEAMSE Ensenada,0.3469,3600,16635,0.216,161251000,246.44,1070359000,0.1507,LA PLATA,153432.2,163541.7,193940.4,210597.2,213614.9,213301.7,185611,168337.1,181099.3,188387,200921.6,195275.5,191398.2,188306.28,178144.2,167686.72,232706.22,226999.47
D062,Lanús,459263,Matanza-Riachuelo,48,CEAMSE Norte III,0.4304,0,0,0.000,13880000,130.61,189978000,0.0731,LANÚS,148348.7,148759.1,158896.5,161612.1,160883.7,161242,139861.5,129441.3,138596.8,145871.6,151914,136176.9,138792.5,164585.65,160928.58,184810.49,197655.676,197684.445
D070,Lomas de Zamora,616279,Matanza-Riachuelo,89,CEAMSE Norte III,0.335,0,0,0.000,0,0,0,0,LOMAS DE ZAMORA,143142.5,149905.7,172101.6,166745.8,174028.7,169383.7,142122.9,133825.1,149932.5,159551,164766.5,158285.6,155620.6,190259.15,200714.51,217640.63,225262.362,206480.055
D071,Luján,106273,Reconquista/Luján,800,Basurero municipal,0,0,0,0.000,0,0,0,0,LUJÁN,,1989,16911.3,17533.1,14740.4,1906.8,1561.8,2096.6,3653,124.2,,,,,,,,
D130,Malvinas Argentinas,322375,Reconquista/Luján,63,CEAMSE Norte III,0.2219,90,6321,0.014,0,0,0,0,MALVINAS ARGENTINAS,45769,46723.9,50393.4,59294.4,57601.6,60798.5,51992.1,50204.8,54913.8,58844.7,62974.9,63715.6,63325.7,69300.52,73245.74,73745.96,73658.2,71548.77
D075,Marcos Paz,54181,Matanza-Riachuelo/Reconquista,470,Basurero municipal,0,0,0,0.000,1776000,32.78,127192000,0.014,,,,,,,,,,,,,,,,,,,
D077,Merlo,528494,Matanza-Riachuelo/Reconquista,170,CEAMSE Norte III,0.2356,0,0,0.000,63277000,119.73,838169000,0.0755,MERLO,75305.3,84023.5,92686.2,92452.7,91619.1,93587.3,75891.4,69157.6,71606.9,73980.6,79246.4,78837.7,84011.8,110833.24,127031.82,136201.31,137186.48,124508.1
D079,Moreno,452505,Reconquista/Luján,186,CEAMSE Norte III,0.1792,0,0,0.000,86095000,186.26,484896000,0.1776,MORENO,44824.1,50743.5,57300.3,61730.9,60965.5,63926.4,53244.6,49737.4,55464,58862.8,62841.7,64907.6,66123.8,70181.98,79880.06,85583.72,82598.76,81110.52
D080,Morón,321109,Matanza-Riachuelo/Reconquista,55,CEAMSE Norte III,0.3897,400,10917,0.037,113831000,354.49,627310000,0.1815,MORÓN       ,102650.8,116500,132100.6,134475,143156,152012.7,112059.6,112138.5,115369.1,123146.5,125999.9,128386.6,121425.5,127748.62,127675.84,134104.34,133430.828,125121.72
D089,Pilar,299077,Luján,352,CEAMSE Norte III,0.1274,0,0,0.000,82646000,242.71,553768000,0.1492,PILAR,21962.1,28883.7,34388.7,36986.2,40909.3,43403.9,33301.9,32698.8,36588.1,39666,43064.2,43756,43984.1,46894.27,51269.7,55116.14,56510.68,38092.275
D128,Presidente Perón,81141,Matanza-Riachuelo,121,CEAMSE Norte III,0.1739,0,0,0.000,10776000,179.03,126368000,0.0853,PRESIDENTE PERÓN,5033.2,5857.5,7202.4,8236.8,8615.3,9215.2,7254.2,7125,8023.8,8719.9,9344.1,9914,10756.7,11599.86,12473.7,13879.94,14151.22,14110.74
D092,Quilmes,582943,Del Plata ,125,CEAMSE Norte III,0.2062,0,0,0.000,89533000,153.59,828474000,0.1081,QUILMES,106537.6,110269.9,127912.9,134936.7,132512.4,130227.9,106683.8,100846.8,103076.2,114928.6,124971.4,127402.8,125114,132182.87,132296.16,135366.63,133578.618,120216.345
D105,San Fernando,163240,Reconquista,924,CEAMSE Norte III,0.3272,0,0,0.000,40493000,247.72,268637000,0.1507,SAN FERNANDO,45913.7,54365.2,60798,57860.2,53779.8,54011.7,41831.8,39673.4,46517.4,44678.2,51716.2,56489.9,51313.8,52993.7,47160.84,49734.64,56160.83,53404.56
D195,San Fernando,163240,Reconquista,924,CEAMSE Norte III,0.3272,0,0,0.000,40493000,247.72,268637000,0.1507,SAN FERNANDO,45913.7,54365.2,60798,57860.2,53779.8,54011.7,41831.8,39673.4,46517.4,44678.2,51716.2,56489.9,51313.8,52993.7,47160.84,49734.64,56160.83,53404.56
D106,San Isidro,292878,Reconquista,51,CEAMSE Norte III,0.6769,30,16098,0.002,143043000,490.53,902720000,0.1585,SAN ISIDRO,167829,178623.3,194471.9,192577.7,182379.3,178813.7,150308.4,148104.3,156776.4,166197.7,171848,178760.5,177758.3,184607.92,206926.08,204097.49,206954.68,198236.97
D053,San Miguel,276190,Reconquista,82,CEAMSE Norte III,0.2829,45,7739,0.006,59242000,203.11,432299000,0.137,SAN MIGUEL,55442.4,61138.3,64208.7,64975.6,64487.8,68715.3,55359,54912.6,58013.9,61552.1,66952.7,64120,65066,70001.29,74761.78,76616.58,78735.02,78138.75
D109,San Vicente,59478,Matanza-Riachuelo,666,Basurero municipal,0,0,0,0.000,136730000,359.15,966144000,0.1415,,,,,,,,,,,,,,,,,,,
D113,Tigre,376381,Reconquista/Luján,368,CEAMSE Norte III,0.3507,0,0,0.000,99127000,288.35,502074000,0.1974,TIGRE,77671.2,82697.6,96389.2,103855.2,106391.2,113131.1,101678.9,95728.3,100614.4,113749.9,107954.1,114216,121914.2,133021.38,146288.92,144725.18,140994.1,131993.01
D118,Tres de febrero,340071,Reconquista,39,CEAMSE Norte III,0.4231,0,0,0.000,103949000,385.83,749888000,0.1386,TRES DE FEBRERO,129286.1,136037.1,145857.3,150019.8,150320.6,149649.9,119832.1,118376.4,122389.1,131191.9,136825.2,141181.6,136433.8,143094.84,144559.47,147459.93,144199.95,143877.42
D122,Vicente López,269420,Reconquista,33,CEAMSE Norte III,0.5084,0,0,0.000,15689000,137.3,192750000,0.0814,VICENTE LÓPEZ,165625,164819.8,167008.3,145024.3,137524.9,138612,112926.6,115766.2,119671.3,126670.5,136900.1,138331.1,143756.7,142083.73,154805.08,150860.88,146318.73,136973.07
D125,Zárate,114269,Areco,1202,Basurero municipal,0,0,0,0.000,0,0,0,0,,,,,,,,,,,,,,,,,,,
